Theta,Hm,Htmax,Htmin
25.641523,0.247857,1.257140,0.339326
25.609666,0.246514,1.258358,0.338325
25.577867,0.245170,1.259575,0.337323
25.546183,0.243828,1.260796,0.336324
25.514613,0.242490,1.262020,0.335329
25.483100,0.241150,1.263244,0.334334
25.451702,0.239813,1.264472,0.333342
25.420361,0.238474,1.265698,0.332349
25.389135,0.237139,1.266929,0.331360
25.357966,0.235802,1.268159,0.330371
25.326912,0.234468,1.269393,0.329385
25.295915,0.233133,1.270626,0.328398
25.265032,0.231800,1.271863,0.327415
25.234207,0.230467,1.273100,0.326432
25.203497,0.229136,1.274341,0.325452
25.172843,0.227804,1.275581,0.324471
25.142305,0.226476,1.276827,0.323495
25.111823,0.225146,1.278071,0.322518
25.081457,0.223819,1.279320,0.321545
25.051147,0.222491,1.280569,0.320571
25.020895,0.221162,1.281817,0.319597
24.990757,0.219836,1.283070,0.318627
24.960734,0.218514,1.284327,0.317660
24.930769,0.217190,1.285584,0.316693
24.900860,0.215865,1.286841,0.315726
24.871009,0.214539,1.288098,0.314759
24.841273,0.213216,1.289360,0.313795
24.811651,0.211897,1.290626,0.312835
24.782086,0.210576,1.291892,0.311875
24.752579,0.209254,1.293159,0.310915
24.723129,0.207932,1.294425,0.309954
24.693793,0.206613,1.295696,0.308997
24.664573,0.205297,1.296972,0.308044
24.635352,0.203975,1.298244,0.307087
24.606245,0.202658,1.299520,0.306134
24.577254,0.201345,1.300803,0.305187
24.548262,0.200024,1.302079,0.304232
24.519385,0.198707,1.303361,0.303282
24.490623,0.197394,1.304648,0.302336
24.461860,0.196076,1.305931,0.301386
24.433212,0.194762,1.307220,0.300441
24.404679,0.193451,1.308512,0.299499
24.376146,0.192135,1.309801,0.298553
24.347727,0.190822,1.311096,0.297611
24.319366,0.189509,1.312391,0.296669
24.291119,0.188199,1.313691,0.295731
24.262929,0.186888,1.314992,0.294793
24.234797,0.185577,1.316293,0.293855
24.206722,0.184264,1.317595,0.292918
24.178762,0.182956,1.318903,0.291984
24.150801,0.181642,1.320207,0.291046
24.122956,0.180332,1.321516,0.290112
24.095224,0.179026,1.322831,0.289183
24.067493,0.177715,1.324142,0.288249
24.039877,0.176407,1.325459,0.287320
24.012317,0.175099,1.326776,0.286390
23.984815,0.173790,1.328094,0.285461
23.957428,0.172484,1.329419,0.284536
23.930098,0.171178,1.330744,0.283611
23.902768,0.169868,1.332065,0.282682
23.875610,0.168565,1.333397,0.281762
23.848451,0.167257,1.334726,0.280837
23.821351,0.165949,1.336056,0.279913
23.794364,0.164645,1.337391,0.278993
23.767435,0.163340,1.338727,0.278073
23.740564,0.162035,1.340066,0.277153
23.713749,0.160729,1.341405,0.276234
23.687049,0.159426,1.342750,0.275319
23.660349,0.158120,1.344092,0.274400
23.633764,0.156817,1.345440,0.273485
23.607236,0.155513,1.346789,0.272571
23.580766,0.154209,1.348139,0.271657
23.554352,0.152905,1.349492,0.270743
23.527996,0.151600,1.350845,0.269830
23.501697,0.150295,1.352201,0.268917
23.475513,0.148994,1.353562,0.268008
23.449386,0.147692,1.354925,0.267099
23.423260,0.146386,1.356285,0.266187
23.397247,0.145083,1.357651,0.265279
23.371292,0.143928,1.359166,0.264519
23.345395,0.142652,1.360562,0.263639
23.319611,0.141347,1.361932,0.262731
23.293828,0.140031,1.363293,0.261813
23.268103,0.138570,1.364511,0.260750
23.242491,0.137270,1.365892,0.259848
23.216880,0.135966,1.367270,0.258943
23.191383,0.134665,1.368655,0.258043
23.165944,0.133364,1.370042,0.257142
23.140562,0.132063,1.371430,0.256243
23.115180,0.130757,1.372817,0.255339
23.089913,0.129456,1.374209,0.254441
23.064703,0.128154,1.375604,0.253542
23.039550,0.126852,1.377000,0.252644
23.014454,0.125550,1.378398,0.251747
