M,npr,xt,Hm,xd,yd,xe,Hs,xf,yf,ye,yt,theta3
5.000000,52.000000,1.097769,0.186360,1.490632,0.285500,1.784914,0.121061,1.344491,0.151697,0.121061,0.186360,0.139580
5.000000,52.250000,1.105663,0.183496,1.500191,0.283469,1.793849,0.119191,1.352710,0.149371,0.119191,0.183496,0.137262
5.000000,52.500000,1.113550,0.180646,1.509737,0.281454,1.802785,0.117331,1.360911,0.147057,0.117331,0.180646,0.134961
5.000000,52.750000,1.121431,0.177809,1.519271,0.279457,1.811722,0.115481,1.369093,0.144757,0.115481,0.177809,0.132676
5.000000,53.000000,1.129307,0.174986,1.528794,0.277475,1.820660,0.113639,1.377256,0.142468,0.113639,0.174986,0.130406
5.000000,53.250000,1.137177,0.172177,1.538306,0.275510,1.829600,0.111807,1.385402,0.140191,0.111807,0.172177,0.128153
5.000000,53.500000,1.145042,0.169380,1.547807,0.273560,1.838541,0.109983,1.393529,0.137925,0.109983,0.169380,0.125915
5.000000,53.750000,1.152901,0.166596,1.557297,0.271626,1.847482,0.108168,1.401638,0.135671,0.108168,0.166596,0.123693
5.000000,54.000000,1.160755,0.163824,1.566776,0.269707,1.856426,0.106362,1.409729,0.133428,0.106362,0.163824,0.121485
5.000000,54.250000,1.168605,0.161065,1.576244,0.267804,1.865370,0.104564,1.417801,0.131196,0.104564,0.161065,0.119293
5.000000,54.500000,1.176449,0.158318,1.585703,0.265915,1.874315,0.102774,1.425856,0.128974,0.102774,0.158318,0.117115
5.000000,54.750000,1.184288,0.155583,1.595151,0.264041,1.883262,0.100993,1.433894,0.126763,0.100993,0.155583,0.114952
5.000000,55.000000,1.192123,0.152860,1.604590,0.262181,1.892210,0.099219,1.441913,0.124562,0.099219,0.152860,0.112803
5.000000,55.250000,1.199953,0.150148,1.614019,0.260336,1.901159,0.097453,1.449915,0.122371,0.097453,0.150148,0.110669
5.000000,55.500000,1.207779,0.147447,1.623438,0.258504,1.910109,0.095695,1.457898,0.120190,0.095695,0.147447,0.108548
5.000000,55.750000,1.215600,0.144758,1.632847,0.256686,1.919061,0.093945,1.465865,0.118018,0.093945,0.144758,0.106441
5.000000,56.000000,1.223416,0.142080,1.642248,0.254882,1.928013,0.092202,1.473813,0.115856,0.092202,0.142080,0.104348
5.000000,56.250000,1.231229,0.139412,1.651639,0.253091,1.936967,0.090467,1.481744,0.113703,0.090467,0.139412,0.102268
5.000000,56.500000,1.239037,0.136756,1.661022,0.251314,1.945922,0.088738,1.489657,0.111559,0.088738,0.136756,0.100201
5.000000,56.750000,1.246841,0.134110,1.670396,0.249550,1.954878,0.087017,1.497553,0.109424,0.087017,0.134110,0.098148
5.000000,57.000000,1.254641,0.131474,1.679761,0.247798,1.963835,0.085303,1.505431,0.107297,0.085303,0.131474,0.096107
5.000000,57.250000,1.262437,0.128849,1.689117,0.246059,1.972794,0.083596,1.513292,0.105179,0.083596,0.128849,0.094079
5.000000,57.500000,1.270229,0.126234,1.698465,0.244333,1.981753,0.081896,1.521134,0.103069,0.081896,0.126234,0.092064
5.000000,57.750000,1.278017,0.123629,1.707804,0.242619,1.990714,0.080202,1.528960,0.100967,0.080202,0.123629,0.090061
5.000000,58.000000,1.285801,0.121034,1.717136,0.240918,1.999675,0.078516,1.536767,0.098873,0.078516,0.121034,0.088071
5.000000,58.250000,1.293582,0.118448,1.726459,0.239229,2.008638,0.076835,1.544557,0.096787,0.076835,0.118448,0.086093
5.000000,58.500000,1.301358,0.115872,1.735774,0.237551,2.017601,0.075161,1.552330,0.094709,0.075161,0.115872,0.084126
5.000000,58.750000,1.309131,0.113306,1.745081,0.235886,2.026566,0.073494,1.560084,0.092638,0.073494,0.113306,0.082172
5.000000,59.000000,1.316901,0.110749,1.754381,0.234232,2.035531,0.071833,1.567821,0.090575,0.071833,0.110749,0.080229
5.000000,59.250000,1.324666,0.108202,1.763672,0.232590,2.044497,0.070178,1.575540,0.088519,0.070178,0.108202,0.078298
5.000000,59.500000,1.332429,0.105664,1.772956,0.230959,2.053465,0.068530,1.583241,0.086470,0.068530,0.105664,0.076379
5.000000,59.750000,1.340187,0.103134,1.782232,0.229340,2.062432,0.066887,1.590924,0.084427,0.066887,0.103134,0.074470
5.000000,60.000000,1.347942,0.100614,1.791501,0.227731,2.071401,0.065251,1.598589,0.082392,0.065251,0.100614,0.072573
5.000000,60.250000,1.355694,0.098103,1.800762,0.226134,2.080370,0.063620,1.606237,0.080364,0.063620,0.098103,0.070687
5.000000,60.500000,1.363442,0.095601,1.810016,0.224548,2.089340,0.061995,1.613866,0.078342,0.061995,0.095601,0.068812
5.000000,60.750000,1.371187,0.093107,1.819262,0.222973,2.098310,0.060377,1.621476,0.076326,0.060377,0.093107,0.066948
5.000000,61.000000,1.378928,0.090622,1.828501,0.221409,2.107281,0.058764,1.629069,0.074317,0.058764,0.090622,0.065094
5.000000,61.250000,1.386666,0.088146,1.837732,0.219855,2.116253,0.057156,1.636643,0.072314,0.057156,0.088146,0.063251
5.000000,61.500000,1.394400,0.085679,1.846957,0.218312,2.125224,0.055555,1.644199,0.070317,0.055555,0.085679,0.061418
5.000000,61.750000,1.402131,0.083219,1.856174,0.216779,2.134196,0.053959,1.651736,0.068326,0.053959,0.083219,0.059595
5.000000,62.000000,1.409859,0.080768,1.865383,0.215257,2.143169,0.052368,1.659254,0.066342,0.052368,0.080768,0.057783
5.000000,62.250000,1.417583,0.078326,1.874586,0.213745,2.152141,0.050783,1.666754,0.064362,0.050783,0.078326,0.055981
5.000000,62.500000,1.425303,0.075892,1.883781,0.212244,2.161114,0.049204,1.674234,0.062389,0.049204,0.075892,0.054189
5.000000,62.750000,1.433021,0.073466,1.892969,0.210752,2.170086,0.047630,1.681696,0.060421,0.047630,0.073466,0.052406
5.000000,63.000000,1.440734,0.071048,1.902150,0.209271,2.179059,0.046061,1.689138,0.058459,0.046061,0.071048,0.050633
5.000000,63.250000,1.448444,0.068638,1.911323,0.207800,2.188031,0.044498,1.696561,0.056503,0.044498,0.068638,0.048870
5.000000,63.500000,1.456151,0.066236,1.920490,0.206339,2.197003,0.042940,1.703965,0.054551,0.042940,0.066236,0.047117
5.000000,63.750000,1.463854,0.063842,1.929649,0.204887,2.205975,0.041388,1.711349,0.052605,0.041388,0.063842,0.045373
5.000000,64.000000,1.471554,0.061457,1.938801,0.203446,2.214946,0.039840,1.718713,0.050664,0.039840,0.061457,0.043638
5.000000,64.250000,1.479250,0.059079,1.947945,0.202014,2.223916,0.038298,1.726057,0.048729,0.038298,0.059079,0.041912
5.000000,64.500000,1.486942,0.056709,1.957082,0.200592,2.232886,0.036762,1.733381,0.046798,0.036762,0.056709,0.040196
5.000000,64.750000,1.494630,0.054347,1.966212,0.199179,2.241856,0.035230,1.740685,0.044872,0.035230,0.054347,0.038489
5.000000,65.000000,1.502315,0.051993,1.975335,0.197777,2.250824,0.033703,1.747969,0.042951,0.033703,0.051993,0.036790
5.000000,65.250000,1.509996,0.049647,1.984450,0.196383,2.259791,0.032182,1.755231,0.041035,0.032182,0.049647,0.035100
5.000000,65.500000,1.517674,0.047308,1.993557,0.195000,2.268757,0.030665,1.762473,0.039124,0.030665,0.047308,0.033420
5.000000,65.750000,1.525347,0.044977,2.002657,0.193626,2.277722,0.029154,1.769694,0.037217,0.029154,0.044977,0.031747
5.000000,66.000000,1.533016,0.042654,2.011750,0.192261,2.286686,0.027648,1.776894,0.035315,0.027648,0.042654,0.030084
5.000000,66.250000,1.540681,0.040339,2.020835,0.190905,2.295648,0.026147,1.784072,0.033418,0.026147,0.040339,0.028428
5.000000,66.500000,1.548343,0.038031,2.029912,0.189559,2.304609,0.024651,1.791229,0.031525,0.024651,0.038031,0.026781
5.000000,66.750000,1.556000,0.035731,2.038981,0.188223,2.313567,0.023160,1.798363,0.029636,0.023160,0.035731,0.025143
5.000000,67.000000,1.563653,0.033439,2.048042,0.186895,2.322524,0.021674,1.805476,0.027752,0.021674,0.033439,0.023512
5.000000,67.250000,1.571301,0.031154,2.057096,0.185577,2.331479,0.020193,1.812566,0.025872,0.020193,0.031154,0.021890
5.000000,67.500000,1.578945,0.028878,2.066141,0.184268,2.340432,0.018717,1.819634,0.023997,0.018717,0.028878,0.020276
5.000000,67.750000,1.586585,0.026608,2.075178,0.182968,2.349382,0.017246,1.826678,0.022125,0.017246,0.026608,0.018670
5.000000,68.000000,1.594220,0.024347,2.084207,0.181678,2.358330,0.015780,1.833700,0.020258,0.015780,0.024347,0.017071
5.000000,68.250000,1.601850,0.022093,2.093228,0.180396,2.367275,0.014320,1.840698,0.018395,0.014320,0.022093,0.015481
5.000000,68.500000,1.609475,0.019847,2.102240,0.179124,2.376217,0.012864,1.847673,0.016536,0.012864,0.019847,0.013898
5.000000,68.750000,1.617096,0.017609,2.111243,0.177861,2.385156,0.011413,1.854624,0.014682,0.011413,0.017609,0.012323
5.000000,69.000000,1.624712,0.015378,2.120238,0.176607,2.394092,0.009967,1.861551,0.012831,0.009967,0.015378,0.010755
5.000000,69.250000,1.632322,0.013155,2.129224,0.175362,2.403024,0.008526,1.868453,0.010984,0.008526,0.013155,0.009195
5.000000,69.500000,1.639927,0.010940,2.138201,0.174127,2.411953,0.007091,1.875330,0.009141,0.007091,0.010940,0.007642
5.000000,69.750000,1.647527,0.008733,2.147169,0.172900,2.420878,0.005660,1.882183,0.007302,0.005660,0.008733,0.006097
5.000000,70.000000,1.655122,0.006533,2.156127,0.171683,2.429800,0.004234,1.889009,0.005467,0.004234,0.006533,0.004559
5.000000,70.250000,1.662710,0.004341,2.165076,0.170474,2.438717,0.002814,1.895811,0.003636,0.002814,0.004341,0.003028
5.000000,70.500000,1.670294,0.002157,2.174016,0.169275,2.447629,0.001398,1.902586,0.001808,0.001398,0.002157,0.001504
